checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
$1 - $1000,27,repaid,business,3915,< $500,1 - 4 yrs,4,single male,none,2,other,36,none,own,1,2,2,yes,yes,skilled employee
unknown,6,repaid,electronics/home entertainment,2108,< $500,4 - 7 yrs,2,married male,none,2,real estate,29,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,45,repaid,electronics/home entertainment,3031,$1001 - $2000,1 - 4 yrs,4,single male,guarantor,4,building society savings,21,none,rent,1,2,1,none,yes,skilled employee
$1 - $1000,9,critical,education,1501,< $500,> 7 yrs,2,female,none,3,other,34,none,own,2,2,1,yes,yes,mangement self-employed
unknown,6,critical,electronics/home entertainment,1382,< $500,1 - 4 yrs,1,female,none,1,other,28,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,12,repaid,furniture,951,$1001 - $2000,0 - 1 yrs,4,female,none,4,other,27,bank,rent,4,2,1,none,yes,skilled employee
$1 - $1000,24,repaid,used vehicle,2760,unknown,> 7 yrs,4,single male,none,4,unknown,36,bank,for free,1,1,1,yes,yes,skilled employee
$1 - $1000,18,delayed,furniture,4297,< $500,> 7 yrs,4,divorced male,none,3,unknown,40,none,own,1,2,1,yes,yes,mangement self-employed
unknown,9,critical,education,936,$501 - $1000,> 7 yrs,4,single male,none,2,other,52,none,own,2,1,1,yes,yes,skilled employee
< $0,12,repaid,new vehicle,1168,< $500,1 - 4 yrs,4,married male,none,3,real estate,27,none,own,1,1,1,none,yes,unskilled resident
unknown,27,delayed,business,5117,< $500,4 - 7 yrs,3,single male,none,4,other,26,none,own,2,1,1,none,yes,skilled employee
< $0,12,repaid,retraining,902,< $500,4 - 7 yrs,4,married male,none,4,building society savings,21,none,rent,1,2,1,none,yes,skilled employee
unknown,12,critical,new vehicle,1495,< $500,> 7 yrs,4,single male,none,1,real estate,38,none,own,2,1,2,none,yes,unskilled resident
< $0,30,critical,used vehicle,10623,< $500,> 7 yrs,3,single male,none,4,unknown,38,none,for free,3,1,2,yes,yes,mangement self-employed
unknown,12,critical,furniture,1935,< $500,> 7 yrs,4,single male,none,4,real estate,43,none,own,3,1,1,yes,yes,skilled employee
$1 - $1000,12,critical,domestic appliances,1424,< $500,4 - 7 yrs,4,single male,none,3,building society savings,26,none,own,1,1,1,none,yes,skilled employee
< $0,24,repaid,business,6568,< $500,1 - 4 yrs,2,married male,none,2,other,21,stores,own,1,1,1,none,yes,unskilled resident
unknown,12,repaid,used vehicle,1413,> $2000,4 - 7 yrs,3,single male,none,2,building society savings,55,none,own,1,1,1,none,no,skilled employee
unknown,9,critical,electronics/home entertainment,3074,unknown,1 - 4 yrs,1,single male,none,2,real estate,33,none,own,2,1,2,none,yes,skilled employee
unknown,36,repaid,electronics/home entertainment,3835,unknown,> 7 yrs,2,female,none,4,real estate,45,none,own,1,1,1,yes,yes,unskilled resident
< $0,27,fully repaid,business,5293,< $500,unemployed,2,single male,none,4,building society savings,50,stores,own,2,2,1,yes,yes,skilled employee
> $1000,30,delayed,business,1908,< $500,> 7 yrs,4,single male,none,4,real estate,66,none,own,1,2,1,yes,yes,mangement self-employed
unknown,36,critical,electronics/home entertainment,3342,unknown,> 7 yrs,4,single male,none,2,other,51,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,6,critical,retraining,932,unknown,4 - 7 yrs,1,female,none,3,building society savings,39,none,own,2,1,1,none,yes,unskilled resident
< $0,18,fully repaid,business,3104,< $500,4 - 7 yrs,3,single male,none,1,building society savings,31,bank,own,1,1,1,yes,yes,skilled employee
> $1000,36,repaid,electronics/home entertainment,3913,< $500,1 - 4 yrs,2,single male,none,2,real estate,23,none,own,1,1,1,yes,yes,skilled employee
< $0,24,repaid,furniture,3021,< $500,1 - 4 yrs,2,divorced male,none,2,real estate,24,none,rent,1,1,1,none,yes,unskilled resident
unknown,10,repaid,new vehicle,1364,< $500,1 - 4 yrs,2,female,none,4,other,64,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,625,< $500,0 - 1 yrs,4,married male,guarantor,1,real estate,26,bank,own,1,1,1,none,yes,unskilled resident
< $0,12,repaid,education,1200,unknown,1 - 4 yrs,4,female,none,4,building society savings,23,bank,rent,1,1,1,yes,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,707,< $500,1 - 4 yrs,4,single male,none,2,real estate,30,bank,own,2,1,1,none,yes,skilled employee
unknown,24,delayed,business,2978,unknown,1 - 4 yrs,4,single male,none,4,real estate,32,none,own,2,1,2,yes,yes,skilled employee
unknown,15,repaid,used vehicle,4657,< $500,1 - 4 yrs,3,single male,none,2,other,30,none,own,1,1,1,yes,yes,skilled employee
unknown,36,fully repaid,repairs,2613,< $500,1 - 4 yrs,4,single male,none,2,other,27,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,48,repaid,electronics/home entertainment,10961,> $2000,4 - 7 yrs,1,single male,co-applicant,2,unknown,27,bank,own,2,2,1,yes,yes,skilled employee
< $0,12,repaid,furniture,7865,< $500,> 7 yrs,4,single male,none,4,unknown,53,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,9,repaid,electronics/home entertainment,1478,< $500,4 - 7 yrs,4,single male,none,2,other,22,none,own,1,2,1,none,yes,skilled employee
< $0,24,repaid,furniture,3149,< $500,0 - 1 yrs,4,single male,none,1,unknown,22,bank,for free,1,1,1,none,yes,skilled employee
> $1000,36,repaid,electronics/home entertainment,4210,< $500,1 - 4 yrs,4,single male,none,2,other,26,none,own,1,2,1,none,yes,skilled employee
unknown,9,repaid,new vehicle,2507,$501 - $1000,> 7 yrs,2,single male,none,4,unknown,51,none,for free,1,1,1,none,yes,unskilled resident
unknown,12,repaid,electronics/home entertainment,2141,$1001 - $2000,4 - 7 yrs,3,single male,none,1,unknown,35,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,electronics/home entertainment,866,< $500,1 - 4 yrs,4,married male,guarantor,2,real estate,25,none,own,1,1,1,none,yes,unskilled resident
unknown,4,critical,electronics/home entertainment,1544,< $500,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,3,1,2,none,yes,unskilled resident
< $0,24,repaid,electronics/home entertainment,1823,< $500,unemployed,4,single male,none,2,other,30,stores,own,1,2,2,none,yes,mangement self-employed
$1 - $1000,6,repaid,new vehicle,14555,unknown,unemployed,1,single male,none,2,building society savings,23,none,own,1,2,1,yes,yes,unemployed non-resident
$1 - $1000,21,repaid,business,2767,$1001 - $2000,> 7 yrs,4,divorced male,none,2,other,61,bank,rent,2,2,1,none,yes,unskilled resident
unknown,12,critical,electronics/home entertainment,1291,< $500,1 - 4 yrs,4,female,none,2,building society savings,35,none,own,2,1,1,none,yes,skilled employee
< $0,30,repaid,electronics/home entertainment,2522,< $500,> 7 yrs,1,single male,guarantor,3,building society savings,39,none,own,1,1,2,none,yes,skilled employee
< $0,24,repaid,new vehicle,915,unknown,> 7 yrs,4,female,none,2,other,29,bank,own,1,2,1,none,yes,skilled employee
unknown,6,repaid,electronics/home entertainment,1595,< $500,4 - 7 yrs,3,single male,none,2,building society savings,51,none,own,1,1,2,none,yes,skilled employee
< $0,48,fully repaid,used vehicle,4605,< $500,> 7 yrs,3,single male,none,4,unknown,24,none,for free,2,2,2,none,yes,skilled employee
unknown,12,critical,business,1185,< $500,1 - 4 yrs,3,female,none,2,real estate,27,none,own,2,1,1,none,yes,skilled employee
unknown,12,fully repaid this bank,retraining,3447,$501 - $1000,1 - 4 yrs,4,female,none,3,real estate,35,none,own,1,1,2,none,yes,unskilled resident
unknown,24,repaid,business,1258,< $500,4 - 7 yrs,4,single male,none,1,real estate,25,none,own,1,1,1,yes,yes,skilled employee
unknown,12,critical,electronics/home entertainment,717,< $500,> 7 yrs,4,single male,none,4,real estate,52,none,own,3,1,1,none,yes,skilled employee
unknown,6,fully repaid,new vehicle,1204,$1001 - $2000,1 - 4 yrs,4,single male,none,1,unknown,35,bank,rent,1,1,1,none,no,skilled employee
> $1000,24,repaid,furniture,1925,< $500,1 - 4 yrs,2,single male,none,2,real estate,26,none,own,1,1,1,none,yes,skilled employee
unknown,18,repaid,electronics/home entertainment,433,< $500,unemployed,3,female,co-applicant,4,real estate,22,none,rent,1,2,1,none,yes,skilled employee
< $0,6,critical,new vehicle,666,> $2000,4 - 7 yrs,3,female,none,4,real estate,39,none,own,2,1,1,yes,yes,unskilled resident
> $1000,12,repaid,furniture,2251,< $500,1 - 4 yrs,1,female,none,2,other,46,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,30,repaid,new vehicle,2150,< $500,1 - 4 yrs,4,female,guarantor,2,unknown,24,bank,own,1,2,1,none,yes,skilled employee
unknown,24,delayed,furniture,4151,$1001 - $2000,1 - 4 yrs,2,single male,none,3,building society savings,35,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,9,repaid,furniture,2030,unknown,4 - 7 yrs,2,single male,none,1,other,24,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,60,delayed,electronics/home entertainment,7418,unknown,1 - 4 yrs,1,single male,none,1,real estate,27,none,own,1,1,1,none,yes,unskilled resident
unknown,24,critical,electronics/home entertainment,2684,< $500,1 - 4 yrs,4,single male,none,2,real estate,35,none,own,2,1,1,none,yes,unskilled resident
< $0,12,fully repaid this bank,electronics/home entertainment,2149,< $500,1 - 4 yrs,4,divorced male,none,1,unknown,29,none,for free,1,2,1,none,yes,skilled employee
unknown,15,repaid,used vehicle,3812,$1001 - $2000,0 - 1 yrs,1,female,none,4,other,23,none,own,1,1,1,yes,yes,skilled employee
unknown,11,critical,electronics/home entertainment,1154,$1001 - $2000,unemployed,4,female,none,4,real estate,57,none,own,3,1,1,none,yes,unskilled resident
< $0,12,repaid,furniture,1657,< $500,1 - 4 yrs,2,single male,none,2,real estate,27,none,own,1,1,1,none,yes,skilled employee
< $0,24,repaid,electronics/home entertainment,1603,< $500,> 7 yrs,4,female,none,4,other,55,none,own,1,1,1,none,yes,skilled employee
< $0,18,critical,new vehicle,5302,< $500,> 7 yrs,2,single male,none,4,unknown,36,none,for free,3,1,1,yes,yes,mangement self-employed
unknown,12,critical,education,2748,< $500,> 7 yrs,2,female,none,4,unknown,57,bank,for free,3,1,1,none,yes,unskilled resident
unknown,10,critical,new vehicle,1231,< $500,> 7 yrs,3,single male,none,4,real estate,32,none,own,2,1,2,none,no,unskilled resident
$1 - $1000,15,repaid,electronics/home entertainment,802,< $500,> 7 yrs,4,single male,none,3,other,37,none,own,1,2,2,none,yes,skilled employee
unknown,36,critical,business,6304,unknown,> 7 yrs,4,single male,none,4,real estate,36,none,own,2,1,1,none,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1533,< $500,0 - 1 yrs,4,female,none,3,other,38,stores,own,1,1,1,yes,yes,skilled employee
< $0,14,repaid,new vehicle,8978,< $500,> 7 yrs,1,divorced male,none,4,building society savings,45,none,own,1,2,1,yes,no,mangement self-employed
unknown,24,repaid,electronics/home entertainment,999,unknown,> 7 yrs,4,single male,none,2,other,25,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,new vehicle,2662,unknown,4 - 7 yrs,4,single male,none,3,building society savings,32,none,own,1,1,1,none,no,skilled employee
unknown,12,critical,furniture,1402,$501 - $1000,4 - 7 yrs,3,female,none,4,other,37,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,48,fully repaid this bank,new vehicle,12169,unknown,unemployed,4,single male,co-applicant,4,unknown,36,none,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,48,repaid,electronics/home entertainment,3060,< $500,4 - 7 yrs,4,single male,none,4,real estate,28,none,own,2,2,1,none,yes,skilled employee
< $0,30,repaid,repairs,11998,< $500,0 - 1 yrs,1,divorced male,none,1,unknown,34,none,own,1,2,1,yes,yes,unskilled resident
unknown,9,repaid,electronics/home entertainment,2697,< $500,1 - 4 yrs,1,single male,none,2,real estate,32,none,own,1,1,2,none,yes,skilled employee
unknown,18,critical,electronics/home entertainment,2404,< $500,1 - 4 yrs,2,female,none,2,other,26,none,own,2,1,1,none,yes,skilled employee
< $0,12,repaid,furniture,1262,unknown,> 7 yrs,2,divorced male,none,4,building society savings,49,none,own,1,1,1,yes,yes,unskilled resident
unknown,6,repaid,furniture,4611,< $500,0 - 1 yrs,1,female,none,4,building society savings,32,none,own,1,2,1,none,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,1901,$1001 - $2000,1 - 4 yrs,4,single male,none,4,other,29,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,15,critical,used vehicle,3368,> $2000,> 7 yrs,3,single male,none,4,unknown,23,none,rent,2,1,1,yes,yes,skilled employee
unknown,12,repaid,furniture,1574,< $500,1 - 4 yrs,4,single male,none,2,real estate,50,none,own,1,1,1,none,yes,skilled employee
> $1000,18,fully repaid this bank,electronics/home entertainment,1445,unknown,4 - 7 yrs,4,single male,none,4,other,49,bank,own,1,1,1,none,yes,unskilled resident
unknown,15,critical,furniture,1520,unknown,> 7 yrs,4,single male,none,4,building society savings,63,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,24,critical,new vehicle,3878,$1001 - $2000,0 - 1 yrs,4,divorced male,none,2,other,37,none,own,1,1,1,yes,yes,skilled employee
< $0,47,repaid,new vehicle,10722,< $500,0 - 1 yrs,1,female,none,1,real estate,35,none,own,1,1,1,yes,yes,unskilled resident
< $0,48,repaid,used vehicle,4788,< $500,4 - 7 yrs,4,single male,none,3,building society savings,26,none,own,1,1,2,none,yes,skilled employee
$1 - $1000,48,delayed,others,7582,$1001 - $2000,unemployed,2,single male,none,4,unknown,31,none,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,12,repaid,electronics/home entertainment,1092,< $500,1 - 4 yrs,4,female,guarantor,4,real estate,49,none,own,2,1,1,yes,yes,skilled employee
< $0,24,delayed,electronics/home entertainment,1024,< $500,0 - 1 yrs,4,married male,none,4,real estate,48,stores,own,1,2,1,none,yes,skilled employee
unknown,12,repaid,business,1076,< $500,1 - 4 yrs,2,married male,none,2,real estate,26,none,own,1,1,1,yes,no,skilled employee
$1 - $1000,36,repaid,used vehicle,9398,< $500,0 - 1 yrs,1,married male,none,4,other,28,none,rent,1,2,1,yes,yes,mangement self-employed
< $0,24,critical,used vehicle,6419,< $500,> 7 yrs,2,female,none,4,unknown,44,none,for free,2,1,2,yes,yes,mangement self-employed
> $1000,42,critical,used vehicle,4796,< $500,> 7 yrs,4,single male,none,4,unknown,56,none,for free,1,1,1,none,yes,skilled employee
unknown,48,critical,business,7629,unknown,> 7 yrs,4,divorced male,none,2,other,46,bank,own,2,1,2,none,yes,mangement self-employed
$1 - $1000,48,repaid,furniture,9960,< $500,0 - 1 yrs,1,female,none,2,other,26,none,own,1,2,1,yes,yes,skilled employee
unknown,12,repaid,used vehicle,4675,unknown,0 - 1 yrs,1,female,none,4,other,20,none,rent,1,1,1,none,yes,skilled employee
unknown,10,repaid,new vehicle,1287,unknown,> 7 yrs,4,single male,co-applicant,2,building society savings,45,none,own,1,1,1,none,no,unskilled resident
unknown,18,repaid,furniture,2515,< $500,1 - 4 yrs,3,single male,none,4,real estate,43,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,21,critical,furniture,2745,> $2000,4 - 7 yrs,3,single male,none,2,other,32,none,own,2,1,1,yes,yes,skilled employee
unknown,6,repaid,new vehicle,672,< $500,unemployed,1,female,none,4,real estate,54,none,own,1,1,1,yes,yes,unemployed non-resident
$1 - $1000,36,fully repaid,electronics/home entertainment,3804,< $500,1 - 4 yrs,4,female,none,1,other,42,none,own,1,2,1,yes,yes,skilled employee
> $1000,24,critical,new vehicle,1344,unknown,4 - 7 yrs,4,single male,none,2,real estate,37,bank,own,2,2,2,none,yes,unskilled resident
< $0,10,critical,new vehicle,1038,< $500,4 - 7 yrs,4,single male,co-applicant,3,building society savings,49,none,own,2,1,1,yes,yes,skilled employee
unknown,48,critical,new vehicle,10127,$501 - $1000,1 - 4 yrs,2,single male,none,2,unknown,44,bank,for free,1,2,1,none,yes,skilled employee
unknown,6,repaid,furniture,1543,> $2000,1 - 4 yrs,4,divorced male,none,2,real estate,33,none,own,1,1,1,none,yes,skilled employee
unknown,30,repaid,used vehicle,4811,unknown,4 - 7 yrs,2,female,none,4,building society savings,24,stores,rent,1,1,1,none,yes,unskilled resident
< $0,12,repaid,electronics/home entertainment,727,$1001 - $2000,0 - 1 yrs,4,married male,none,3,unknown,33,none,own,1,2,1,yes,yes,unskilled resident
$1 - $1000,8,repaid,furniture,1237,< $500,1 - 4 yrs,3,female,none,4,real estate,24,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,9,repaid,new vehicle,276,< $500,1 - 4 yrs,4,married male,none,4,real estate,22,none,rent,1,1,1,none,yes,unskilled resident
$1 - $1000,48,repaid,others,5381,unknown,unemployed,3,single male,none,4,unknown,40,bank,for free,1,1,1,yes,yes,unemployed non-resident
unknown,24,repaid,furniture,5511,$1001 - $2000,1 - 4 yrs,4,single male,none,1,other,25,stores,own,1,1,1,none,yes,skilled employee
> $1000,24,repaid,furniture,3749,< $500,0 - 1 yrs,2,female,none,4,other,26,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,685,< $500,4 - 7 yrs,2,married male,none,3,other,25,bank,own,1,2,1,none,yes,unskilled resident
> $1000,4,repaid,new vehicle,1494,unknown,0 - 1 yrs,1,single male,none,2,real estate,29,none,own,1,1,2,none,no,unskilled resident
< $0,36,fully repaid this bank,furniture,2746,< $500,> 7 yrs,4,single male,none,4,other,31,bank,own,1,2,1,none,yes,skilled employee
< $0,12,repaid,furniture,708,< $500,1 - 4 yrs,2,single male,guarantor,3,building society savings,38,none,own,1,1,2,none,yes,unskilled resident
$1 - $1000,24,repaid,furniture,4351,unknown,1 - 4 yrs,1,female,none,4,building society savings,48,none,own,1,1,1,yes,yes,unskilled resident
unknown,12,critical,education,701,< $500,1 - 4 yrs,4,single male,none,2,other,32,none,own,2,1,1,none,yes,skilled employee
< $0,15,delayed,furniture,3643,< $500,> 7 yrs,1,female,none,4,building society savings,27,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,30,critical,new vehicle,4249,< $500,unemployed,4,married male,none,2,other,28,none,own,2,2,1,none,yes,mangement self-employed
< $0,24,repaid,electronics/home entertainment,1938,< $500,0 - 1 yrs,4,divorced male,none,3,building society savings,32,none,own,1,2,1,none,yes,skilled employee
< $0,24,repaid,used vehicle,2910,< $500,4 - 7 yrs,2,single male,none,1,unknown,34,none,for free,1,1,1,yes,yes,mangement self-employed
< $0,18,repaid,furniture,2659,> $2000,1 - 4 yrs,4,single male,none,2,other,28,none,own,1,1,1,none,yes,skilled employee
unknown,18,critical,new vehicle,1028,< $500,1 - 4 yrs,4,female,none,3,real estate,36,none,own,2,1,1,none,yes,skilled employee
< $0,8,critical,new vehicle,3398,< $500,4 - 7 yrs,1,single male,none,4,real estate,39,none,own,2,1,1,none,no,unskilled resident
unknown,12,critical,furniture,5801,unknown,> 7 yrs,2,single male,none,4,building society savings,49,none,rent,1,1,1,yes,yes,skilled employee
unknown,24,repaid,new vehicle,1525,> $2000,4 - 7 yrs,4,female,none,3,other,34,none,own,1,1,2,yes,yes,skilled employee
> $1000,36,repaid,electronics/home entertainment,4473,< $500,> 7 yrs,4,single male,none,2,other,31,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,6,repaid,electronics/home entertainment,1068,< $500,> 7 yrs,4,single male,none,4,other,28,none,own,1,1,2,none,yes,skilled employee
< $0,24,critical,used vehicle,6615,< $500,unemployed,2,single male,none,4,unknown,75,none,for free,2,1,1,yes,yes,mangement self-employed
unknown,18,critical,education,1864,$1001 - $2000,1 - 4 yrs,4,female,none,2,real estate,30,none,own,2,2,1,none,yes,skilled employee
$1 - $1000,60,repaid,new vehicle,7408,$1001 - $2000,0 - 1 yrs,4,female,none,2,building society savings,24,none,own,1,2,1,none,yes,mangement self-employed
unknown,48,critical,used vehicle,11590,$1001 - $2000,1 - 4 yrs,2,female,none,4,other,24,bank,rent,2,2,1,none,yes,unskilled resident
< $0,24,fully repaid,furniture,4110,< $500,> 7 yrs,3,single male,none,4,unknown,23,bank,rent,2,2,2,none,yes,skilled employee
< $0,6,critical,furniture,3384,< $500,1 - 4 yrs,1,divorced male,none,4,real estate,44,none,rent,1,2,1,yes,yes,mangement self-employed
$1 - $1000,13,repaid,electronics/home entertainment,2101,< $500,0 - 1 yrs,2,female,guarantor,4,building society savings,23,none,own,1,1,1,none,yes,unskilled resident
< $0,15,repaid,domestic appliances,1275,unknown,1 - 4 yrs,4,female,none,2,other,24,none,rent,1,2,1,none,yes,skilled employee
< $0,24,repaid,furniture,4169,< $500,1 - 4 yrs,4,single male,none,4,building society savings,28,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,10,repaid,furniture,1521,< $500,1 - 4 yrs,4,divorced male,none,2,other,31,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,24,critical,education,5743,< $500,0 - 1 yrs,2,female,none,4,unknown,24,none,for free,2,1,1,yes,yes,skilled employee
< $0,21,repaid,furniture,3599,< $500,4 - 7 yrs,1,female,none,4,other,26,none,rent,1,1,1,none,yes,unskilled resident
$1 - $1000,18,repaid,electronics/home entertainment,3213,$501 - $1000,0 - 1 yrs,1,married male,none,3,real estate,25,none,rent,1,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,business,4439,< $500,> 7 yrs,1,single male,co-applicant,1,real estate,33,bank,own,1,1,1,yes,yes,mangement self-employed
> $1000,10,repaid,new vehicle,3949,< $500,0 - 1 yrs,1,single male,guarantor,1,building society savings,37,none,own,1,1,2,none,yes,unskilled resident
unknown,15,critical,electronics/home entertainment,1459,< $500,1 - 4 yrs,4,female,none,2,other,43,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,13,critical,electronics/home entertainment,882,< $500,0 - 1 yrs,4,single male,guarantor,4,real estate,23,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,24,repaid,electronics/home entertainment,3758,$501 - $1000,unemployed,1,female,none,4,unknown,23,none,rent,1,1,1,none,yes,unemployed non-resident
unknown,6,delayed,business,1743,$1001 - $2000,1 - 4 yrs,1,single male,none,2,real estate,34,none,own,2,1,1,none,yes,unskilled resident
$1 - $1000,9,critical,education,1136,> $2000,> 7 yrs,4,single male,none,3,unknown,32,none,for free,2,2,2,none,yes,skilled employee
unknown,9,repaid,domestic appliances,1236,< $500,0 - 1 yrs,1,female,none,4,real estate,23,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,9,repaid,furniture,959,< $500,1 - 4 yrs,1,female,none,2,other,29,none,own,1,2,1,none,no,skilled employee
unknown,18,critical,used vehicle,3229,unknown,unemployed,2,single male,none,4,unknown,38,none,own,1,1,1,yes,yes,mangement self-employed
< $0,12,fully repaid,electronics/home entertainment,6199,< $500,1 - 4 yrs,4,single male,none,2,building society savings,28,none,rent,2,2,1,yes,yes,skilled employee
unknown,10,repaid,education,727,$501 - $1000,> 7 yrs,4,single male,none,4,unknown,46,none,for free,1,1,1,yes,yes,skilled employee
$1 - $1000,24,repaid,new vehicle,1246,< $500,0 - 1 yrs,4,single male,none,2,real estate,23,stores,own,1,2,1,none,yes,unskilled resident
unknown,12,critical,electronics/home entertainment,2331,unknown,> 7 yrs,1,single male,co-applicant,4,real estate,49,none,own,1,1,1,yes,yes,skilled employee
unknown,36,delayed,electronics/home entertainment,4463,< $500,1 - 4 yrs,4,single male,none,2,other,26,none,own,2,2,1,yes,yes,mangement self-employed
unknown,12,repaid,electronics/home entertainment,776,< $500,1 - 4 yrs,4,married male,none,2,real estate,28,none,own,1,1,1,none,yes,skilled employee
< $0,30,repaid,furniture,2406,< $500,4 - 7 yrs,4,female,none,4,real estate,23,none,rent,1,2,1,none,yes,skilled employee
$1 - $1000,18,repaid,education,1239,unknown,1 - 4 yrs,4,single male,none,4,unknown,61,none,for free,1,1,1,none,yes,skilled employee
> $1000,12,repaid,electronics/home entertainment,3399,unknown,> 7 yrs,2,single male,none,3,other,37,none,own,1,1,1,none,yes,mangement self-employed
> $1000,12,delayed,new vehicle,2247,< $500,1 - 4 yrs,2,female,none,2,other,36,stores,own,2,1,1,yes,yes,skilled employee
unknown,6,repaid,furniture,1766,< $500,1 - 4 yrs,1,married male,none,2,building society savings,21,none,rent,1,1,1,none,yes,skilled employee
< $0,18,repaid,furniture,2473,< $500,unemployed,4,single male,none,1,other,25,none,own,1,2,1,none,yes,unemployed non-resident
unknown,12,repaid,business,1542,< $500,4 - 7 yrs,2,single male,none,4,other,36,none,own,1,1,1,yes,yes,skilled employee
unknown,18,critical,used vehicle,3850,< $500,4 - 7 yrs,3,single male,none,1,other,27,none,own,2,1,1,none,yes,skilled employee
< $0,18,repaid,furniture,3650,< $500,0 - 1 yrs,1,female,none,4,other,22,none,rent,1,1,1,none,yes,skilled employee
< $0,36,repaid,furniture,3446,< $500,> 7 yrs,4,single male,none,2,other,42,none,own,1,2,2,none,yes,skilled employee
$1 - $1000,18,repaid,furniture,3001,< $500,4 - 7 yrs,2,female,none,4,real estate,40,none,rent,1,1,1,none,yes,skilled employee
unknown,36,repaid,new vehicle,3079,unknown,1 - 4 yrs,4,single male,none,4,real estate,36,none,own,1,1,1,none,yes,skilled employee
unknown,18,critical,electronics/home entertainment,6070,< $500,> 7 yrs,3,single male,none,4,other,33,none,own,2,1,1,yes,yes,skilled employee
unknown,10,critical,furniture,2146,< $500,0 - 1 yrs,1,female,none,3,real estate,23,none,rent,2,1,1,none,yes,skilled employee
unknown,60,critical,new vehicle,13756,unknown,> 7 yrs,2,single male,none,4,unknown,63,bank,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,60,fully repaid this bank,others,14782,$1001 - $2000,> 7 yrs,3,female,none,4,unknown,60,bank,for free,2,2,1,yes,yes,mangement self-employed
< $0,48,fully repaid this bank,business,7685,< $500,4 - 7 yrs,2,female,guarantor,4,other,37,none,rent,1,2,1,none,yes,skilled employee
unknown,18,delayed,electronics/home entertainment,2320,< $500,unemployed,2,married male,none,3,real estate,34,none,own,2,1,1,none,yes,skilled employee
unknown,7,delayed,electronics/home entertainment,846,unknown,> 7 yrs,3,single male,none,4,unknown,36,none,for free,1,1,1,none,yes,skilled employee
$1 - $1000,36,repaid,new vehicle,14318,< $500,> 7 yrs,4,single male,none,2,unknown,57,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,6,critical,new vehicle,362,$1001 - $2000,1 - 4 yrs,4,female,none,4,other,52,none,own,2,1,1,none,yes,unskilled resident
< $0,20,repaid,furniture,2212,unknown,4 - 7 yrs,4,single male,none,4,other,39,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,18,repaid,used vehicle,12976,< $500,unemployed,3,female,none,4,unknown,38,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,22,repaid,new vehicle,1283,unknown,4 - 7 yrs,4,female,none,4,building society savings,25,none,rent,1,1,1,none,yes,skilled employee
> $1000,12,repaid,new vehicle,1330,< $500,0 - 1 yrs,4,single male,none,1,real estate,26,none,own,1,1,1,none,yes,skilled employee
unknown,30,delayed,business,4272,$1001 - $2000,1 - 4 yrs,2,single male,none,2,building society savings,26,none,own,2,1,1,none,yes,unskilled resident
unknown,18,critical,electronics/home entertainment,2238,< $500,1 - 4 yrs,2,female,none,1,other,25,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,electronics/home entertainment,1126,unknown,0 - 1 yrs,4,female,none,2,real estate,21,none,rent,1,1,1,yes,yes,skilled employee
$1 - $1000,18,critical,furniture,7374,< $500,unemployed,4,single male,none,4,building society savings,40,stores,own,2,1,1,yes,yes,mangement self-employed
